# V1	V2 
5473826 6526814
5493250 6343474
5496176 6282882
5502448 6218950
5510780 6180946
5539966 6127292
5565586 6052860
5584022 6050386
5590094 6048274
5601432 6041098
5603938 6036508
5604250 6035400
5642958 6009858
5643314 5996484
5655268 5954504
5681332 5885864
5685066 5881662
5761538 5869308
5762428 5860318
5792684 5772712
5823414 5767558
5860734 5740240
5890544 5724424
5906560 5704548
5961104 5688026
5985044 5666152
6065866 5653804
6079994 5610878
6177896 5605006
6187024 5598184
6211210 5595258
6247004 5580700
6289572 5553288

5464286 6468510
5483338 6425684
5486560 6398072
5490172 6321560
5492190 6249646
5501474 6243086
5506814 6242362
5530720 6222704
5540230 6195922
5544276 6191576
5546330 6178918
5547704 6173070
5551010 6144084
5582976 6109600
5609460 6057996
5624086 6049322
5625720 5993428
5638102 5971312
5647638 5921298
5663048 5915032
5704138 5888876
5729684 5836944
5747252 5819924
5759610 5812382
5782070 5768652
5873978 5762538
5874272 5761044
5882830 5760430
5904552 5723300
5939924 5707386
5947614 5701140
5971320 5697846
5982022 5661266
6063414 5654264
6065726 5632240
6069364 5596736
6272108 5587046
6315974 5583950
6368090 5578316

5459400 6391458
5479426 6334344
5495376 6334052
5499092 6252340
5504398 6186928
5525714 6168288
5547188 6143768
5559092 6086104
5587542 6070154
5587768 6045176
5606566 6009568
5645972 5973140
5659796 5967768
5685066 5903518
5700516 5884792
5708298 5837288
5786040 5816636
5808188 5810686
5827514 5802070
5836668 5767048
5870506 5732568
5892102 5721780
5924134 5705214
5934668 5677728
6004674 5669380
6027072 5659732
6031592 5638978
6044782 5637662
6082808 5609204
6092324 5603094
6253214 5575184

5463102 6438364
5473856 6324104
5482618 6290900
5504258 6287356
5505584 6193506
5532676 6189400
5546722 6156310
5572324 6061118
5620220 6025180
5625344 6016892
5631372 5956486
5659450 5928660
5720274 5898402
5733618 5857754
5743250 5838360
5758642 5818112
5829984 5796312
5848816 5749614
5854722 5735726
5898104 5707610
5941982 5702718
5972232 5675872
6021562 5660390
6023888 5654430
6075856 5638782
6106930 5614914
6117966 5608692
6171870 5587604
6209836 5566250

5462904 6447758
5471358 6403078
5478530 6374152
5488616 6373720
5489318 6286472
5505816 6207974
5525600 6194892
5540534 6183010
5563076 6147576
5575522 6129916
5585150 6059392
5589382 6042868
5605688 6018882
5615056 5998676
5639552 5966008
5646670 5944664
5697582 5934608
5698828 5934298
5701456 5917160
5707924 5882614
5730436 5861732
5740210 5856682
5789570 5781642
5830076 5746930
5919034 5725796
5933716 5669830
5953002 5668762
6025550 5652298
6065570 5647412
6098626 5606028
6172266 5584250
6277404 5576724
6283842 5566726
6349150 5563204

5473170 6393360
5476340 6380998
5491846 6353018
5495148 6296226
5519062 6265090
5519812 6212052
5534358 6174368
5537162 6161216
5564424 6150734
5576744 6127658
5581700 6103550
5581934 6056392
5590954 6039310
5611828 6032792
5622246 6010060
5640802 5969970
5679068 5951746
5693260 5893258
5696058 5887714
5715428 5879502
5745114 5861730
5770308 5812920
5786984 5779996
5804950 5755002
5828922 5746320
5906244 5728720
5935080 5706794
5963402 5686978
5975454 5675910
5988840 5667338
6028566 5658016
6048388 5628088
6066286 5625498
6105872 5598794
6250842 5577366
6288742 5565098

5463368 6432452
5472040 6379916
5486028 6301162
5522330 6189608
5543346 6142814
5544048 6103468
5547890 6095124
5584602 6070942
5601820 6057146
5606908 6046368
5628534 5996806
5639754 5979188
5667862 5903616
5706776 5857700
5737668 5831240
5777824 5781582
5798668 5779106
5826374 5753854
5840298 5742252
5899532 5686184
5981008 5671694
6045318 5649770
6061648 5635462
6126548 5613592
6154312 5607456
6165072 5601942
6227740 5585918
6263758 5570116

5468774 6382734
5498568 6304846
5499490 6235464
5517008 6227206
5519794 6225236
5525784 6196098
5527344 6196068
5540808 6134132
5556582 6114292
5566184 6097612
5569316 6025674
5618874 5954694
5630924 5951274
5672118 5947266
5677566 5916114
5722486 5867416
5758392 5846684
5777734 5787298
5833602 5779658
5834850 5755424
5852146 5754470
5861922 5720298
5963272 5698242
5973552 5695486
5979604 5679158
6001482 5643540
6020326 5626466
6050568 5595726
6154474 5589552
6209536 5563840

5487164 6387864
5493858 6347562
5495452 6314548
5503952 6288260
5508524 6269818
5520270 6239256
5528570 6207896
5529942 6147766
5560010 6132202
5562612 6101794
5593108 6081356
5615656 6047176
5630456 6014302
5633416 5981558
5662954 5916380
5701298 5893354
5715524 5884950
5727872 5870568
5739352 5858264
5772402 5823914
5780418 5818252
5786840 5816708
5830932 5790760
5834644 5764390
5869730 5762196
5875676 5737886
5889824 5732110
5917000 5719372
5919168 5710156
5933164 5696970
5941176 5687456
5968848 5670862
5988362 5641660
6088704 5635518
6091792 5623608
6106984 5599008
6195550 5585052
6297880 5569958
6306082 5553538

5462044 6435818
5484260 6386302
5488498 6285006
5502622 6242846
5520082 6215464
5527790 6212844
5536864 6208854
5556500 6180892
5557828 6105258
5560916 6087702
5585718 6067392
5602506 6049554
5607700 6003382
5629368 6001370
5661986 5963470
5671440 5958196
5673518 5945960
5692180 5934804
5700026 5900610
5700538 5877378
5720530 5864594
5720804 5811566
5805576 5782574
5821954 5768060
5883228 5722900
5927952 5713414
5928762 5686332
5949524 5671262
6022138 5649370
6073150 5627932
6083922 5620382
6189274 5616004
6192004 5602090
6202578 5583326
6205034 5555302
6236032 5541288

5464096 6302030
5512218 6157876
5539916 6137688
5540734 6109298
5591870 6107332
5594846 6081628
5609524 6056874
5612712 6016244
5635752 6008636
5643372 5967030
5672520 5958904
5673058 5919582
5698226 5915150
5736220 5870434
5747934 5865668
5782542 5832806
5783226 5805662
5825482 5786756
5833726 5774638
5863254 5740006
5900318 5732572
5912698 5680052
5958580 5673376
5974446 5670744
5996902 5641786
6018904 5628254
6068804 5618760
6134070 5617998
6147618 5611076
6154364 5585526
6231908 5570114

5478162 6302532
5492580 6272064
5514554 6249728
5521940 6236398
5523922 6222574
5526614 6161368
